node,year,theta
R12_NAM,2040,4.281759243561627
R12_NAM,2050,4.652897987781606
R12_NAM,2060,4.802725182979289
R12_NAM,2070,4.945142856377552
R12_NAM,2080,5.090131229794603
R12_NAM,2090,5.249528774800314
R12_NAM,2100,5.415955895015668
R12_NAM,2025,3.8741722569512227
R12_NAM,2035,4.1261370474250665
R12_NAM,2045,4.4612120671121
R12_NAM,2055,4.739876821622707
R12_PAO,2030,3.245824683806623
R12_PAO,2040,3.2091975517103477
R12_PAO,2050,3.2045234365396453
R12_PAO,2060,3.139679643709674
R12_PAO,2070,3.2014205739743455
R12_PAO,2080,3.3818710420720954
R12_PAO,2090,3.6204848912104843
R12_PAO,2100,3.827903270718988
R12_PAO,2025,3.69324814469406
R12_PAO,2035,3.2178738481129088
R12_PAO,2045,3.2069855429863505
R12_PAO,2055,3.175067614607038
R12_PAS,2030,3.6555008733538714
R12_PAS,2040,1.8580248858867314
R12_PAS,2050,1.3039204924455183
R12_PAS,2060,1.0854670572136007
R12_PAS,2070,1.0351201374494279
R12_PAS,2080,0.9776220902310028
R12_PAS,2090,0.9392036279688256
R12_PAS,2100,0.9579460187719929
R12_PAS,2025,5.7471293298436
R12_PAS,2035,2.548838733118494
R12_PAS,2045,1.4535330471599759
R12_PAS,2055,1.165017700167349
R12_SAS,2030,5.0230423479403665
R12_SAS,2040,3.9811055252638234
R12_SAS,2050,1.9297718066028904
R12_SAS,2060,1.2173769400196883
R12_SAS,2070,0.9934149781491883
R12_SAS,2080,0.8990049316949565
R12_SAS,2090,0.8808771232709813
R12_SAS,2100,0.9182245749315361
R12_SAS,2025,5.075159165933195
R12_SAS,2035,4.919189711979556
R12_SAS,2045,2.8599359477207544
R12_SAS,2055,1.465639276296013
R12_WEU,2030,8.610857974835671
R12_WEU,2040,6.707020961248754
R12_WEU,2050,6.48893456449581
R12_WEU,2060,6.488955206245539
R12_WEU,2070,6.807445749512363
R12_WEU,2080,7.3130792332017585
R12_WEU,2090,7.860461841725704
R12_WEU,2100,8.558883217380943
R12_WEU,2025,10.269775407401617
R12_WEU,2035,7.454525690985665
R12_WEU,2045,6.556357589079926
R12_WEU,2055,6.465177798097342
R12_CHN,2025,1.9276560248323753
R12_CHN,2030,2.238036602877276
R12_CHN,2035,2.454712511247045
R12_CHN,2040,2.7765694150272093
R12_CHN,2045,2.8554430359627854
R12_CHN,2050,2.998636148211739
R12_CHN,2055,3.1066679859375768
R12_CHN,2060,3.2647137883104675
R12_CHN,2070,3.5817938056739522
R12_CHN,2080,3.925537519204129
R12_CHN,2090,4.1642455353066845
R12_CHN,2100,4.308708621837682
R12_RCPA,2025,11.21624545435306
R12_RCPA,2030,11.116021228013828
R12_RCPA,2035,9.753066647853728
R12_RCPA,2040,7.579650659795412
R12_RCPA,2045,4.937976197512157
R12_RCPA,2050,3.3004001378436536
R12_RCPA,2055,2.3873797981552327
R12_RCPA,2060,1.8938221356191989
R12_RCPA,2070,1.5333066315566495
R12_RCPA,2080,1.473366074564727
R12_RCPA,2090,1.5219172452659686
R12_RCPA,2100,1.6269855260736565
R12_AFR,2020,38.354737765710055
R12_EEU,2020,15.807703596567288
R12_LAM,2020,3.1775823450600624
R12_MEA,2020,2.6914610766961093
R12_NAM,2020,3.7954308085648294
R12_SAS,2020,6.2445314978761495
R12_WEU,2020,12.637733522867903
R12_FSU,2020,24.20063598105094
R12_PAO,2020,3.870893118713846
R12_PAS,2020,10.849180880384976
R12_CHN,2020,2.0782714549510315
R12_RCPA,2020,11.591484997307928
